Points,Longitude,Latitude,COL11A1,S100A4,CXCL12,COL1A1,C3,FBLN1,Sum,Genes
6076,566.72515,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6077,573.65772,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6078,580.59029,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6079,587.52287,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6080,594.45544,523.30648,0,0,0,0,1,1,2,"C3,FBLN1"
6081,46.78218,529.92417,0,0,0,0,0,1,1,FBLN1
6082,53.71475,529.92417,0,0,0,1,0,1,2,"COL1A1,FBLN1"
6083,60.64733,529.92417,0,0,0,1,0,1,2,"COL1A1,FBLN1"
6084,67.5799,529.92417,1,0,1,1,0,1,4,"COL11A1,CXCL12,COL1A1,FBLN1"
6085,74.51247,529.92417,1,0,1,1,0,1,4,"COL11A1,CXCL12,COL1A1,FBLN1"
6086,81.44504,529.92417,1,0,0,1,0,1,3,"COL11A1,COL1A1,FBLN1"
6087,88.37762,529.92417,1,0,1,1,0,1,4,"COL11A1,CXCL12,COL1A1,FBLN1"
6088,95.31019,529.92417,0,0,1,1,0,1,3,"CXCL12,COL1A1,FBLN1"
6089,102.24276,529.92417,0,0,0,1,0,1,2,"COL1A1,FBLN1"
6090,109.17534,529.92417,0,0,0,0,0,1,1,FBLN1
6091,116.10791,529.92417,0,0,0,0,0,0,0,None
6092,123.04048,529.92417,0,0,0,0,0,0,0,None
6093,129.97305,529.92417,0,0,0,0,1,0,1,C3
6094,136.90563,529.92417,0,0,0,0,0,0,0,None
6095,143.8382,529.92417,0,0,0,0,0,0,0,None
6096,150.77077,529.92417,0,0,0,0,0,1,1,FBLN1
6097,157.70335,529.92417,0,0,0,0,0,1,1,FBLN1
6098,164.63592,529.92417,0,0,0,0,0,0,0,None
6099,171.56849,529.92417,0,0,0,0,0,0,0,None
6100,178.50107,529.92417,0,0,0,0,0,0,0,None
6101,185.43364,529.92417,0,0,0,0,0,0,0,None
6102,192.36621,529.92417,0,0,0,0,0,0,0,None
6103,199.29878,529.92417,0,0,0,0,1,0,1,C3
6104,206.23136,529.92417,0,0,0,1,1,0,2,"COL1A1,C3"
6105,213.16393,529.92417,0,0,1,1,1,0,3,"CXCL12,COL1A1,C3"
6106,220.0965,529.92417,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6107,227.02908,529.92417,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6108,233.96165,529.92417,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6109,240.89422,529.92417,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6110,247.82679,529.92417,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6111,254.75937,529.92417,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6112,261.69194,529.92417,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6113,268.62451,529.92417,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6114,275.55709,529.92417,0,1,1,1,0,1,4,"S100A4,CXCL12,COL1A1,FBLN1"
6115,282.48966,529.92417,0,1,1,1,0,1,4,"S100A4,CXCL12,COL1A1,FBLN1"
6116,289.42223,529.92417,0,1,1,1,0,1,4,"S100A4,CXCL12,COL1A1,FBLN1"
6117,296.3548,529.92417,0,1,1,1,0,1,4,"S100A4,CXCL12,COL1A1,FBLN1"
6118,303.28738,529.92417,0,1,1,1,0,1,4,"S100A4,CXCL12,COL1A1,FBLN1"
6119,310.21995,529.92417,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6120,317.15252,529.92417,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6121,324.0851,529.92417,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6122,331.01767,529.92417,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6123,337.95024,529.92417,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6124,344.88282,529.92417,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6125,351.81539,529.92417,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6126,358.74796,529.92417,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6127,365.68053,529.92417,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6128,372.61311,529.92417,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6129,379.54568,529.92417,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6130,386.47825,529.92417,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6131,393.41083,529.92417,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6132,400.3434,529.92417,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6133,407.27597,529.92417,0,1,0,1,1,1,4,"S100A4,COL1A1,C3,FBLN1"
6134,414.20854,529.92417,0,1,0,1,1,1,4,"S100A4,COL1A1,C3,FBLN1"
6135,421.14112,529.92417,0,1,0,1,1,1,4,"S100A4,COL1A1,C3,FBLN1"
6136,428.07369,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6137,435.00626,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6138,441.93884,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6139,448.87141,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6140,455.80398,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6141,462.73655,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6142,469.66913,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6143,476.6017,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6144,483.53427,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6145,490.46685,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6146,497.39942,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6147,504.33199,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6148,511.26457,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6149,518.19714,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6150,525.12971,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6151,532.06228,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6152,538.99486,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6153,545.92743,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6154,552.86,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6155,559.79258,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6156,566.72515,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6157,573.65772,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6158,580.59029,529.92417,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6159,587.52287,529.92417,0,0,0,0,1,1,2,"C3,FBLN1"
6160,594.45544,529.92417,0,0,0,0,1,1,2,"C3,FBLN1"
6161,46.78218,536.54185,0,0,0,0,0,1,1,FBLN1
6162,53.71475,536.54185,0,0,0,0,0,1,1,FBLN1
6163,60.64733,536.54185,0,0,0,1,0,1,2,"COL1A1,FBLN1"
6164,67.5799,536.54185,0,0,1,1,0,1,3,"CXCL12,COL1A1,FBLN1"
6165,74.51247,536.54185,1,0,1,1,0,1,4,"COL11A1,CXCL12,COL1A1,FBLN1"
6166,81.44504,536.54185,1,0,0,1,0,1,3,"COL11A1,COL1A1,FBLN1"
6167,88.37762,536.54185,1,0,0,1,0,1,3,"COL11A1,COL1A1,FBLN1"
6168,95.31019,536.54185,0,0,1,1,0,1,3,"CXCL12,COL1A1,FBLN1"
6169,102.24276,536.54185,0,0,1,1,0,1,3,"CXCL12,COL1A1,FBLN1"
6170,109.17534,536.54185,0,0,0,1,0,1,2,"COL1A1,FBLN1"
6171,116.10791,536.54185,0,0,0,0,0,1,1,FBLN1
6172,123.04048,536.54185,0,0,0,0,0,0,0,None
6173,129.97305,536.54185,0,0,0,0,0,0,0,None
6174,136.90563,536.54185,0,0,0,0,0,0,0,None
6175,143.8382,536.54185,0,0,0,0,0,0,0,None
6176,150.77077,536.54185,0,0,0,0,0,0,0,None
6177,157.70335,536.54185,0,0,0,0,0,0,0,None
6178,164.63592,536.54185,0,0,0,0,0,0,0,None
6179,171.56849,536.54185,0,0,0,0,0,0,0,None
6180,178.50107,536.54185,0,0,0,0,0,0,0,None
6181,185.43364,536.54185,0,0,0,0,0,0,0,None
6182,192.36621,536.54185,0,0,0,0,0,0,0,None
6183,199.29878,536.54185,0,0,0,0,0,0,0,None
6184,206.23136,536.54185,0,0,0,0,1,0,1,C3
6185,213.16393,536.54185,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6186,220.0965,536.54185,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6187,227.02908,536.54185,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6188,233.96165,536.54185,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6189,240.89422,536.54185,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6190,247.82679,536.54185,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6191,254.75937,536.54185,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6192,261.69194,536.54185,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6193,268.62451,536.54185,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6194,275.55709,536.54185,0,1,1,1,0,1,4,"S100A4,CXCL12,COL1A1,FBLN1"
6195,282.48966,536.54185,0,1,1,1,0,1,4,"S100A4,CXCL12,COL1A1,FBLN1"
6196,289.42223,536.54185,0,1,1,1,0,1,4,"S100A4,CXCL12,COL1A1,FBLN1"
6197,296.3548,536.54185,0,1,1,1,0,1,4,"S100A4,CXCL12,COL1A1,FBLN1"
6198,303.28738,536.54185,0,1,1,1,0,1,4,"S100A4,CXCL12,COL1A1,FBLN1"
6199,310.21995,536.54185,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6200,317.15252,536.54185,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6201,324.0851,536.54185,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6202,331.01767,536.54185,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6203,337.95024,536.54185,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
